Latitude,Longitude,County,id
34.03,-118.39,San Luis Obispo  ,50
34.14,-118.15,San Mateo  ,51
36.97,-120.07,Santa Barbara  ,52
37.08,-120.79,Santa Clara  ,53
33.87,-117.95,Santa Cruz  ,54
33.69,-117.77,Shasta  ,55
33.86,-116.95,Sierra  ,56
33.93,-116.88,Siskiyou  ,57
33.78,-116.46,Soboba Indian Reservation,58
38.56,-121.42,Solano  ,59
38.61,-121.44,Sonoma  ,60
38.58,-121.22,Stanislaus  ,61
34.69,-116.9,Sutter  ,62
37.79,-122.41,Tehama  ,63
37.78,-122.41,Trinity  ,64
37.94,-121.32,Tulare  ,65
35.13,-120.63,Tule River Indian Reservation,66
40.07,-122.19,Tuolumne  ,67
40.61,-123.41,Ventura  ,68
34.26,-119.21,Yolo  ,69
39.14,-121.58,Yuba  ,70
36.75,-119.81,Yurok Indian Reservation,71
36.61,-119.52,Agua Caliente Indian Reservation,1
36.19,-120.09,Alameda  ,2
40.16,-122.24,Alpine  ,3
39.08,-121.53,Amador  ,4
36.63,-119.31,Butte  ,5
36.66,-119.6,Cahuilla Indian Reservation,6
36.78,-120.39,Calaveras  ,7
32.79,-115.69,Campo Indian Reservation,8
35.68,-119.22,Colusa  ,9
36.8,-120.02,Contra Costa  ,10
36.58,-119.63,Del Norte  ,11
38.95,-121.1,El Dorado  ,12
37.95,-121.25,Fresno  ,13
36.75,-119.75,Glenn  ,14
35.37,-118.95,Hoopa Valley Indian Reservation,15
35.39,-118.99,Hopland Rancheria (Indian Reservation),16
34.13,-116.31,Humboldt  ,17
41.81,-122.53,Imperial  ,18
36.78,-119.81,Inyo  ,19
36.13,-120.36,Karuk Reservation,20
35.37,-119,Kern  ,21
34.9,-117.01,Kings  ,22
36.33,-119.28,La Jolla Indian Reservation,23
36.08,-119.01,Lake  ,24
39.15,-121.58,Lassen  ,25
39.15,-121.58,Los Angeles  ,26
36.75,-119.83,Madera  ,27
36.74,-119.74,Marin  ,28
34.68,-117.28,Mariposa  ,29
39.9,-122.57,Mendocino  ,30
36.22,-119.08,Merced  ,31
38.54,-121.46,Modoc  ,32
37.99,-121.28,Mono  ,33
37.98,-121.26,Monterey  ,34
37.9,-121.28,Morongo Indian Reservation,35
41.74,-122.61,Napa  ,36
36.71,-119.55,Nevada  ,37
36.61,-119.53,Orange  ,38
38.55,-121.47,Placer  ,39
36.42,-119.09,Plumas  ,40
35.95,-119.04,Resighini Rancheria (Indian Reservation),41
36.82,-119.69,Riverside  ,42
36.69,-119.55,Rohnerville Rancheria (Indian Reservation),43
37.75,-119.55,Sacramento  ,44
37.29,-120.31,San Benito  ,45
39.8,-120.45,San Bernardino  ,46
38.63,-121.44,San Diego  ,47
37.94,-121.25,San Francisco  ,48
39.36,-121.7,San Joaquin  ,49
36.76,-119.77,San Luis Obispo  ,50
36.49,-120.22,San Mateo  ,51
38.54,-121.45,Santa Barbara  ,52
41.2,-122.27,Santa Clara  ,53
39.5,-121.57,Santa Cruz  ,54
36.76,-119.79,Shasta  ,55
32.79,-115.54,Sierra  ,56
32.8,-114.55,Siskiyou  ,57
36.28,-119.81,Soboba Indian Reservation,58
41.79,-120.08,Solano  ,59
39.36,-121.69,Sonoma  ,60
35.3,-118.99,Stanislaus  ,61
35.99,-120.12,Sutter  ,62
37.29,-120.32,Tehama  ,63
36.75,-119.78,Trinity  ,64
37.96,-121.22,Tulare  ,65
35.34,-119.02,Tule River Indian Reservation,66
35.77,-119.25,Tuolumne  ,67
34.54,-117.3,Ventura  ,68
40.68,-122.35,Yolo  ,69
39.12,-121.57,Yuba  ,70
39.51,-121.58,Yurok Indian Reservation,71
36.73,-119.81,Agua Caliente Indian Reservation,1
36.72,-119.81,Alameda  ,2
36.59,-119.44,Alpine  ,3
36.34,-119.64,Amador  ,4
33.79,-116.89,Butte  ,5
38.54,-121.47,Cahuilla Indian Reservation,6
37.94,-121.28,Calaveras  ,7
40.43,-123.32,Campo Indian Reservation,8
35.04,-118.15,Colusa  ,9
